,instrument_key,name
0,NSE_INDEX|India VIX,India VIX
306,NSE_EQ|INE243D01012,BF UTILITIES LIMITED
307,NSE_EQ|INE224M01013,BHARATIYA GLOBAL INFO LTD
308,NSE_EQ|INE661I01014,BGR ENERGY SYSTEMS LTD
309,NSE_EQ|INE414D01027,BHAGIRADHA CHEM & INDS L
310,NSE_EQ|INE354C01027,BHAGERIA INDUSTRIES LTD
311,NSE_EQ|INE458B01036,BHAGYANAGAR INDIA LIMITED
312,NSE_EQ|INE992S01012,BHALCHANDRAM CLOTHING LTD
313,NSE_EQ|INE474E01029,BHANDARI HOSIERY EXP LTD
314,NSE_EQ|INE465A01025,BHARAT FORGE LTD
315,NSE_EQ|INE561C01019,BHARAT GEARS LTD.
316,NSE_EQ|INE838B01013,BHARAT RASAYAN LTD
317,NSE_EQ|INE316L01019,BHARAT WIRE ROPES LTD.
318,NSE_EQ|INE397D01024,BHARTI AIRTEL LIMITED
319,NSE_EQ|INE343G01021,BHARTI HEXACOM LIMITED
320,NSE_EQ|INE257A01026,BHEL
321,NSE_EQ|INE0NHL23019,BHARAT HIGHWAYS INVIT
322,NSE_EQ|INE412U01025,BIGBLOC CONSTRUCTION LTD
323,NSE_EQ|INE00E101023,BIKAJI FOODS INTERN LTD
324,NSE_EQ|INE828A01016,BHARTIYA INETRNATIONAL LT
325,NSE_EQ|INE071A01013,BINANI INDUSTRIES LTD
326,NSE_EQ|INE376G01013,BIOCON LIMITED.
327,NSE_EQ|INE829A01014,BIOFIL CHEM & PHARMA LTD
328,NSE_EQ|INE0PC901019,GRILL SPLENDOUR SER LTD
329,NSE_EQ|INE0FDU25010,BROOKFIELD INDIA RET
330,NSE_EQ|INE800A01015,BIRLA CABLE LIMITED
331,NSE_EQ|INE340A01012,BIRLA CORPORATION LTD
332,NSE_EQ|INE865C01022,ADITYA BIRLA MONEY LTD
333,NSE_EQ|INE831Q01016,BKM INDUSTRIES LIMITED
334,NSE_EQ|INE0N7W01012,BEML LAND ASSETS LIMITED
335,NSE_EQ|INE791A01024,BLB LIMITED
336,NSE_EQ|INE416D01022,BLISS GVS PHARMA LTD
337,NSE_EQ|INE350H01032,B.L.KASHYAP & SON LTD
